rank,recommend_flag,code,name,market,asof_date,close,buy_range,sell_range,avg_daily_move_text,avg_wave_days,stop_price,low_3m,high_3m,range_pct,position_in_3m_range_pct,return_1m_pct,return_3m_pct,avg_volume,avg_trading_value,liquidity_flag,overheat_flag,score,reason,operating_profit,operating_profit_unit,operating_loss_flag,operating_loss_basis,operating_loss_source_status
1,✅,329180,HD현대중공업,KOSPI,2026-06-08,621000,"571,000원~615,000원","665,000원~701,000원","약 ±20,000원 내외 (±3.37%)",2.4,561000.0,428000.0,765000.0,78.74,57.27,-5.62,7.81,401352,372693780625,False,False,130.0,매수위치 중립 57.3%; 거래대금 우수; 변동성 적정 3.37%; 3개월 변동폭 유효 78.7%; 대형주 안정성,905385908000,KRW,FALSE,2026 1분기보고서,OK
2,✅,105560,KB금융,KOSPI,2026-06-08,151500,"144,200원~150,000원","157,900원~163,100원","약 ±2,900원 내외 (±1.87%)",2.2,142800.0,132900.0,175700.0,32.2,43.46,-6.31,6.24,2364470,238925552968,False,False,130.0,매수위치 중립 43.5%; 거래대금 우수; 변동성 적정 1.87%; 3개월 변동폭 유효 32.2%; 대형주 안정성,2727566000000,KRW,FALSE,2026 1분기보고서,OK
3,✅,161390,한국타이어앤테크놀로지,KOSPI,2026-06-08,67000,"62,900원~66,300원","69,000원~71,100원","약 ±1,652원 내외 (±2.78%)",2.2,62000.0,51900.0,72000.0,38.73,75.12,7.89,17.54,540675,36994924895,False,False,124.0,1개월 추세 양호 7.9%; 거래대금 양호; 변동성 적정 2.78%; 3개월 변동폭 유효 38.7%; 대형주 안정성,506963517737,KRW,FALSE,2026 1분기보고서,OK
4,✅,278470,에이피알,KOSPI,2026-06-08,366000,"334,000원~362,000원","394,500원~417,500원","약 ±12,880원 내외 (±3.43%)",1.7,327500.0,284000.0,473000.0,66.55,43.39,-15.67,23.44,164759,132994739366,False,False,122.0,1개월 약세 -15.7%; 매수위치 중립 43.4%; 거래대금 우수; 변동성 적정 3.43%; 3개월 변동폭 유효 66.5%,152271694994,KRW,FALSE,2026 1분기보고서,OK
5,✅,323410,카카오뱅크,KOSPI,2026-06-08,22750,"21,650원~22,500원","23,700원~24,500원",약 ±434원 내외 (±1.83%),2.4,21450.0,20850.0,26050.0,24.94,36.54,-3.81,-4.21,1470650,27358091305,False,False,120.0,매수위치 중립 36.5%; 변동성 적정 1.83%; 3개월 변동폭 유효 24.9%; 대형주 안정성,157614000000,KRW,FALSE,2026 1분기보고서,OK
6,✅,298040,효성중공업,KOSPI,2026-06-08,3196000,"2,901,000원~3,161,000원","3,456,000원~3,668,000원","약 ±118,100원 내외 (±3.65%)",2.0,2842000.0,2263000.0,4742000.0,109.54,37.64,-27.33,33.78,46945,223109895675,False,False,119.0,1개월 약세 -27.3%; 매수위치 중립 37.6%; 거래대금 우수; 변동성 적정 3.65%; 대형주 안정성,152322174346,KRW,FALSE,2026 1분기보고서,OK
7,✅,128940,한미약품,KOSPI,2026-06-08,413000,"388,000원~409,000원","449,500원~479,500원","약 ±16,680원 내외 (±3.38%)",1.8,393500.0,405500.0,578000.0,42.54,4.35,-5.28,-14.23,184811,103219161137,False,False,117.0,하단권 약세 4.3%; 거래대금 우수; 변동성 적정 3.38%; 3개월 변동폭 유효 42.5%; 대형주 안정성,53648603680,KRW,FALSE,2026 1분기보고서,OK
8,🟡,259960,크래프톤,KOSPI,2026-06-08,244500,"227,500원~242,000원","259,500원~272,000원","약 ±6,850원 내외 (±2.68%)",2.0,224000.0,209000.0,303500.0,45.22,37.57,-10.44,11.9,138292,48265371145,False,False,117.0,1개월 약세 -10.4%; 매수위치 중립 37.6%; 거래대금 양호; 변동성 적정 2.68%; 3개월 변동폭 유효 45.2%,561563204569,KRW,FALSE,2026 1분기보고서,OK
9,🟡,282330,BGF리테일,KOSPI,2026-06-08,127100,"119,200원~125,800원","134,100원~139,700원","약 ±3,160원 내외 (±2.40%)",2.1,117600.0,110800.0,147800.0,33.39,44.05,-8.3,10.04,61205,9553896484,False,False,116.0,매수위치 중립 44.0%; 변동성 적정 2.40%; 3개월 변동폭 유효 33.4%,38109787404,KRW,FALSE,2026 1분기보고서,OK
10,🟡,114090,GKL,KOSPI,2026-06-08,11540,"11,010원~11,420원","12,010원~12,390원",약 ±213원 내외 (±1.82%),1.9,10900.0,10310.0,12810.0,24.25,49.2,0.61,-1.7,359545,5434971437,False,False,116.0,매수위치 중립 49.2%; 변동성 적정 1.82%; 3개월 변동폭 유효 24.2%,18148064113,KRW,FALSE,2026 1분기보고서,OK
