recommend_display,current_price_display,value_buy_range,target1_range,three_month_range,return_1m_display,liquidity_display,current_position,avg_daily_range_display,earnings_guidance_event,valuation_growth,score_recommendation_reason,market_ticker,sector_theme,recommend_flag,symbol,name,market,sector,industry,data_date,current_price,value_buy_low,value_buy_high,target1_low,target1_high,low_3m,high_3m,return_1m_pct,return_3m_pct,avg_volume_20d,avg_trading_value_20d,liquidity_label,position_in_3m_range_pct,position_label,avg_daily_range_amount,avg_daily_range_pct,earnings_event_risk,next_earnings_date,fundamentals_status,market_cap,trailing_pe,forward_pe,price_to_book,peg_ratio,revenue_growth,earnings_growth,profit_margin,return_on_equity,debt_to_equity,analyst_target_mean,analyst_target_upside_pct,beta,short_percent_float,rsi14,sma20,sma60,score,legacy_market_score,hard_red_flag,warning_count,recommendation_reason
✅ BlackRock,"$1,011","$979.99~$1,009","$1,072~$1,143","$947.21~$1,111",+2.05%,$854.6M/일 · 활발,중간권 (39.0%),약±$12.66(±1.25%),다음 실적일 자료제한 · 가이던스 확인 필요,선행PER 16.6배 · 매출성장 +27.0% · 이익성장 +45.9% · 평균목표가 여력 +23.8%,85.5점 · 3개월 가치구간 · 1개월 상승폭 안정적 · 매출 성장 양호 / 뚜렷한 단기 경고 제한,USA · BLK,Financials / Asset Management & Custody Banks,✅,BLK,BlackRock,USA,Financials,Asset Management & Custody Banks,2026-07-06,1011.2100219726562,979.99,1009.48,1071.88,1142.67,947.2100219726562,1111.0899658203125,2.0527442505778204,4.619477789981241,852557.95,854633524.1895599,활발,39.05,중간권,25.32602412302701,2.50452661392945,False,,READY,164425089024.0,25.452053,16.582539,2.7714255,1.26,0.27,0.459,0.24396999,0.118990004,23.635,1251.6875,23.781160471315665,1.443,0.013200001,44.72148329011316,1007.4754974365236,1037.7613301595052,85.5,85.5,False,0,3개월 가치구간 · 1개월 상승폭 안정적 · 매출 성장 양호 / 뚜렷한 단기 경고 제한
✅ Alphabet Inc. (Class A),$366.46,$317.87~$338.28,$388.45~$416.78,$295.18~$408.61,+2.08%,$13.29B/일 · 매우활발,중간권 (62.8%),약±$5.54(±1.51%),다음 실적일 자료제한 · 가이던스 확인 필요,선행PER 25.2배 · 매출성장 +21.8% · 이익성장 +82.0% · 평균목표가 여력 +18.0%,82.5점 · 3개월 중간권 · 1개월 상승폭 안정적 · 매출 성장 양호 / 뚜렷한 단기 경고 제한,USA · GOOGL,Communication Services / Interactive Media & Services,✅,GOOGL,Alphabet Inc. (Class A),USA,Communication Services,Interactive Media & Services,2026-07-06,366.4599914550781,317.87,338.28,388.45,416.78,295.17999267578125,408.6099853515625,2.080838302991728,23.9003296707492,37432095.9,13288837551.546932,매우활발,62.84,중간권,11.087941315224745,3.0256894541744104,False,,READY,4471754588160.0,27.974045,25.172915,9.274181,1.42,0.218,0.82,0.37919,0.38884997,20.026,432.28735,17.96304100852746,1.247,0.0153,53.78432932302907,358.2574996948242,364.8246663411458,82.5,82.5,False,0,3개월 중간권 · 1개월 상승폭 안정적 · 매출 성장 양호 / 뚜렷한 단기 경고 제한
✅ Alphabet Inc. (Class C),$364.90,$315.93~$335.85,$386.79~$412.56,$293.79~$404.47,+2.59%,$8.82B/일 · 매우활발,중간권 (64.2%),약±$5.34(±1.46%),다음 실적일 자료제한 · 가이던스 확인 필요,선행PER 25.1배 · 매출성장 +21.8% · 이익성장 +82.0% · 평균목표가 여력 +16.9%,81.5점 · 3개월 중간권 · 1개월 상승폭 안정적 · 매출 성장 양호 / 뚜렷한 단기 경고 제한,USA · GOOG,Communication Services / Interactive Media & Services,✅,GOOG,Alphabet Inc. (Class C),USA,Communication Services,Interactive Media & Services,2026-07-06,364.8999938964844,315.93,335.85,386.79,412.56,293.7900085449219,404.4700012207031,2.5922181203786643,23.92175660038771,24976502.95,8818326563.073635,매우활발,64.25,중간권,10.681389059256746,2.92720998572745,False,,READY,4452718739456.0,27.833715,25.065756,9.234701,1.4,0.218,0.82,0.37919,0.38884997,20.026,426.61847,16.91380573742187,1.247,,53.59657916558373,356.2695007324219,362.191498819987,81.5,81.5,False,0,3개월 중간권 · 1개월 상승폭 안정적 · 매출 성장 양호 / 뚜렷한 단기 경고 제한
✅ Cigna,$281.98,$272.59~$279.50,$298.90~$318.64,$264.90~$303.33,+4.16%,$479.1M/일 · 활발,중간권 (44.4%),약±$3.25(±1.15%),다음 실적일 자료제한 · 가이던스 확인 필요,선행PER 8.4배 · 매출성장 +4.6% · 이익성장 +29.1% · 평균목표가 여력 +20.8%,80.5점 · 3개월 가치구간 · 1개월 상승폭 안정적 · 이익 성장 양호 / 뚜렷한 단기 경고 제한,USA · CI,Health Care / Health Care Services,✅,CI,Cigna,USA,Health Care,Health Care Services,2026-07-06,281.9800109863281,272.59,279.5,298.9,318.64,264.8999938964844,303.3299865722656,4.155431442200963,4.429309850853547,1679727.9,479056599.6174896,활발,44.44,중간권,6.496030177333975,2.303720095127217,False,,READY,74592845824.0,11.948305,8.429488,1.7676338,0.86,0.046,0.291,0.02263,0.16268998,72.805,340.5,20.75324020627449,0.303,0.0309,35.29736987599716,286.16649627685547,283.2979990641276,80.5,80.5,False,0,3개월 가치구간 · 1개월 상승폭 안정적 · 이익 성장 양호 / 뚜렷한 단기 경고 제한
✅ Analog Devices,$388.83,$344.18~$367.07,$419.16~$454.83,$318.75~$445.91,-11.16%,$2.38B/일 · 매우활발,중간권 (55.1%),약±$7.77(±2.00%),다음 실적일 자료제한 · 가이던스 확인 필요,선행PER 26.3배 · 매출성장 +37.2% · 이익성장 +110.5% · 평균목표가 여력 +16.7%,78.5점 · 3개월 중간권 · 매출 성장 양호 · 이익 성장 양호 / 뚜렷한 단기 경고 제한,USA · ADI,Information Technology / Semiconductors,✅,ADI,Analog Devices,USA,Information Technology,Semiconductors,2026-07-06,388.8299865722656,344.18,367.07,419.16,454.83,318.75,445.9100036621094,-11.159098260574108,22.142988956862308,5862602.9,2382229940.9750338,매우활발,55.11,중간권,15.54488167946208,3.99786081739686,False,,READY,189394042880.0,57.947838,26.305534,5.613009,0.69,0.372,1.105,0.26007998,0.09639,25.81,453.66666,16.67481307172387,1.188,0.0276,41.76335778212454,406.9820037841797,400.91616872151695,78.5,78.5,False,0,3개월 중간권 · 매출 성장 양호 · 이익 성장 양호 / 뚜렷한 단기 경고 제한
✅ Amazon,$244.16,$222.98~$235.48,$261.85~$284.13,$209.08~$278.56,-2.34%,$15.13B/일 · 매우활발,중간권 (50.5%),약±$3.99(±1.63%),다음 실적일 자료제한 · 가이던스 확인 필요,선행PER 24.7배 · 매출성장 +16.6% · 이익성장 +74.8% · 평균목표가 여력 +28.2%,78.0점 · 3개월 중간권 · 매출 성장 양호 · 이익 성장 양호 / 뚜렷한 단기 경고 제한,USA · AMZN,Consumer Discretionary / Broadline Retail,✅,AMZN,Amazon,USA,Consumer Discretionary,Broadline Retail,2026-07-06,244.1600036621093,222.98,235.48,261.85,284.13,209.0800018310547,278.5599975585937,-2.343812699069303,16.394145344527324,63552525.7,15127233427.460085,매우활발,50.49,중간권,7.979702226320703,3.2682266164132825,False,,READY,2626455863296.0,31.833117,24.656376,5.9416447,1.83,0.166,0.748,0.12224,0.24285,53.3,312.90628,28.15623988645901,1.461,0.0101,54.38486516244743,239.76449966430664,253.714833577474,78.0,78.0,False,0,3개월 중간권 · 매출 성장 양호 · 이익 성장 양호 / 뚜렷한 단기 경고 제한
✅ Booking Holdings,$181.03,$158.90~$166.78,$191.89~$204.56,$150.14~$193.92,+9.86%,$1.59B/일 · 매우활발,중상단권 (70.6%),약±$3.24(±1.79%),다음 실적일 자료제한 · 가이던스 확인 필요,선행PER 14.7배 · 매출성장 +16.2% · 이익성장 +240.0% · 평균목표가 여력 +23.9%,78.0점 · 중기 상승추세 유지 · 1개월 상승폭 안정적 · 매출 성장 양호 / 뚜렷한 단기 경고 제한,USA · BKNG,"Consumer Discretionary / Hotels, Resorts & Cruise Lines",✅,BKNG,Booking Holdings,USA,Consumer Discretionary,"Hotels, Resorts & Cruise Lines",2026-07-06,181.02999877929688,158.9,166.78,191.89,204.56,150.13999938964844,193.9199981689453,9.86163376646514,7.902133416861212,9137322.25,1589562175.8662338,매우활발,70.56,중상단권,6.489885714608676,3.584978046937311,False,,READY,140276252672.0,23.85112,14.7192745,-16.185068,0.8,0.162,2.4,0.22227,,,224.37714,23.94472822902125,1.075,0.0327,64.3430256219409,173.02100143432617,170.98266728719076,78.0,78.0,False,0,중기 상승추세 유지 · 1개월 상승폭 안정적 · 매출 성장 양호 / 뚜렷한 단기 경고 제한
🟡 CF Industries,$113.20,$108.45~$110.94,$131.08~$142.24,$100.70~$139.45,-2.92%,$314.4M/일 · 활발,저점권반등초입 (32.3%),약±$1.91(±1.69%),다음 실적일 자료제한 · 가이던스 확인 필요,선행PER 9.8배 · 매출성장 +19.4% · 이익성장 +115.1% · 평균목표가 여력 +9.3%,78.0점 · 3개월 가치구간 · 매출 성장 양호 · 이익 성장 양호 / 뚜렷한 단기 경고 제한,USA · CF,Materials / Fertilizers & Agricultural Chemicals,🟡,CF,CF Industries,USA,Materials,Fertilizers & Agricultural Chemicals,2026-07-06,113.1999969482422,108.45,110.94,131.08,142.24,100.6999969482422,139.4499969482422,-2.915953319359199,-12.90298077629749,2939200.55,314430199.99673843,활발,32.26,저점권반등초입,3.815349708826581,3.3704503636789425,False,,READY,17390833664.0,10.198197,9.800543,3.2551184,3.28,0.194,1.151,0.23733999,0.273,43.847,123.77778,9.34433156972101,0.39,0.081199996,58.85713081618928,107.18499946594238,116.5011661529541,78.0,78.0,False,0,3개월 가치구간 · 매출 성장 양호 · 이익 성장 양호 / 뚜렷한 단기 경고 제한
🟡 Broadcom,$373.90,$347.22~$366.42,$465.30~$504.90,$310.28~$495.00,-21.98%,$12.44B/일 · 매우활발,저점권반등초입 (34.4%),약±$7.30(±1.95%),다음 실적일 자료제한 · 가이던스 확인 필요,선행PER 19.3배 · 매출성장 +47.9% · 이익성장 +85.4% · 평균목표가 여력 +40.1%,77.5점 · 3개월 가치구간 · 매출 성장 양호 · 이익 성장 양호 / 뚜렷한 단기 경고 제한,USA · AVGO,Information Technology / Semiconductors,🟡,AVGO,Broadcom,USA,Information Technology,Semiconductors,2026-07-06,373.8999938964844,347.22,366.42,465.3,504.9,310.2799987792969,495.0,-21.979011054223964,18.868227120256243,32438460.95,12439943792.631449,매우활발,34.44,저점권반등초입,14.594126885719348,3.903216668615348,False,,READY,1778859245568.0,62.109634,19.277388,20.287575,0.41,0.479,0.854,0.38848,0.37280998,74.018,523.72894,40.07193060960474,1.462,0.013200001,47.40453298074964,382.0650024414063,405.597834777832,77.5,77.5,False,0,3개월 가치구간 · 매출 성장 양호 · 이익 성장 양호 / 뚜렷한 단기 경고 제한
🟡 Ameren,$112.99,$107.71~$110.10,$119.77~$127.68,$105.06~$118.32,+6.36%,$216.7M/일 · 보통,중간권 (59.8%),약±$1.07(±0.95%),다음 실적일 자료제한 · 가이던스 확인 필요,선행PER 19.5배 · 매출성장 +3.7% · 이익성장 +19.6% · 평균목표가 여력 +6.9%,77.5점 · 3개월 중간권 · 중기 상승추세 유지 · 1개월 상승폭 안정적 / 뚜렷한 단기 경고 제한,USA · AEE,Utilities / Multi-Utilities,🟡,AEE,Ameren,USA,Utilities,Multi-Utilities,2026-07-06,112.98999786376952,107.71,110.1,119.77,127.68,105.05999755859376,118.31999969482422,6.363545413928207,1.1729920800627402,1937068.25,216728510.1215458,보통,59.8,중간권,2.1390796271999024,1.893158392461394,False,,READY,31270164480.0,20.321941,19.450283,2.306295,2.67,0.037,0.196,0.17834999,0.117469996,155.674,120.73333,6.85311291497368,0.481,0.0446,58.336811142677966,111.17349891662596,110.55316581726076,77.5,77.5,False,0,3개월 중간권 · 중기 상승추세 유지 · 1개월 상승폭 안정적 / 뚜렷한 단기 경고 제한
